セクションID,セクション名,セクションステータス,セクション公開日時,レッスンID,レッスンパターン,レッスン名,予告,タグ,レッスンステータス,レッスン公開日時,インプットコード,インプットページ数,インプット_タイプ,インプット_説明文,インプット_画像,インプット_補足説明文,質問_質問文,質問_画像URL,質問_設問タイプ,質問_設問,質問_正解設定,質問_正解時簡易解説,質問_不正解時簡易解説,クイズコード,クイズページ数,クイズ_タイプ,クイズ_問題文,クイズ_画像1,クイズ_設問,クイズ_正解設定,クイズ_組み合わせ1,クイズ_組み合わせ2,クイズ_組み合わせ3,クイズ_組み合わせ4,クイズ_正解時簡易解説,クイズ_不正解時簡易解説,クイズ_リザルト解説
section_code,section_name,section_status,section_published_at,lesson_code,lesson_pattern,lesson_name,lesson_teaser,lesson_tags,lesson_status,lesson_published_at,input_code,input_page_no,input_type,input_body_text,input_image_url,input_supplement_text,input_question_text,input_question_image_url,input_question_type,input_question_choices,input_question_correct,input_correct_explanation,input_wrong_explanation,quiz_code,quiz_page_no,quiz_type,quiz_question_text,quiz_image_url,quiz_choices,quiz_correct,quiz_pair_1,quiz_pair_2,quiz_pair_3,quiz_pair_4,quiz_correct_explanation,quiz_wrong_explanation,quiz_result_explanationS2501010001,投資とあなた,public,L2501010001,株を持つってどういうこと？,public,I2501010001,1,input_quiz,"株を買うということは、その会社のオーナーの一人になるということです。
会社が成長すれば、あなたの資産も増えていきますよ。",株主になると配当金や株主優待がもらえることも,株を買うと、何の一部を持つことになる？,会社;商品,会社,正解です！株主は会社のオーナーの一人なんです。,Q2501010001,2_choice,株主が得られる利益には配当金が含まれる？,o;x,o,正解です！会社が利益を出すと、その一部が配当金として株主に分配されます。また、株価が上がれば売却益も得られますし、企業によっては株主優待という特典もありますよ。
S2501010001,投資とあなた,public,L2501010001,株を持つってどういうこと？,public,I2501010002,2,input_quiz,株で得られる利益は主に3つ。株価が上がったときの「値上がり益」、会社からもらえる「配当金」、そして「株主優待」です。,優待は食事券や自社製品など会社によって様々,株価が買った時より上がると得られる利益は？,値上がり益;配当金,値上がり益,正解！買った価格より高く売れば、その差額が利益になります。,,,,,,
S2501010001,投資とあなた,public,L2501010002,何のために投資をするの？,public,I2501010003,1,input_quiz,投資の目的は人それぞれ。老後の生活資金、子どもの教育費、マイホーム購入、あるいは趣味や旅行のためかもしれません。,目的が明確だと、投資の計画も立てやすくなります,投資の目的として適切なものは？,老後の資金づくり;すぐに大金持ちになる,老後の資金づくり,その通り！投資は将来の目標のために少しずつ資産を育てるものです。,Q2501010002,2_choice,投資は短期間で必ず儲かるもの？,o;x,x,投資は短期間で必ず儲かるものではありません。長期的な視点で、将来の目標に向けてコツコツと資産を育てていくものです。焦らず、自分のペースで続けることが大切ですよ。
S2501010001,投資とあなた,public,L2501010003,投資にまわせるお金を考えよう,public,I2501010004,1,input_quiz,投資に使えるのは「余裕資金」だけ。毎月の生活費と、緊急時の備え（生活防衛資金）を確保した上で、残ったお金を投資に回しましょう。,生活防衛資金は生活費の3〜6ヶ月分が目安です,投資に使うべきお金はどれ？,余裕資金;生活費,余裕資金,正解！生活に必要なお金は必ず確保してから投資を始めましょう。,Q2501010003,2_choice,生活費を削って投資するのは良い方法？,o;x,x,生活費を削って投資するのは危険です。投資は値動きがあるため、必要な時にお金が減っている可能性もあります。まず生活を安定させ、余裕資金で投資を始めることが基本ですよ。
S2501010001,投資とあなた,public,L2501010004,値動きとどう付き合う？,public,I2501010005,1,input_quiz,投資には値動きがあります。大きなリターンを狙えば値動きも大きく、安定を求めれば値動きは小さくなります。どこまで値動きを受け入れられるかは人それぞれです。,これを「リスク許容度」と呼びます,大きなリターンを狙うと値動きはどうなる？,大きくなる;小さくなる,大きくなる,正解！リスクとリターンは表裏一体。大きく狙えば値動きも大きくなります。,Q2501010004,2_choice,すべての人に同じ投資方法が最適？,o;x,x,人によって年齢、収入、目標、性格が違うので、最適な投資方法も異なります。値動きに不安を感じやすい人は安定重視、余裕がある人は成長重視など、自分に合った方法を選ぶことが大切です。
S2501010001,投資とあなた,public,L2501010005,セクションチャレンジ,public,I2501010006,1,challenge,"ここまでの内容を復習しましょう。
投資の基本をしっかり理解できているか、クイズで確認してみてください。",間違えても大丈夫。復習のチャンスです,株主が持つ権利に含まれないものは？,配当金を受け取る;会社の経営を全て決める,会社の経営を全て決める,正解！株主は経営に参加できますが、全てを決められるわけではありません。,Q2501010005,2_choice,投資の目的は人によって違う？,o;x,o,その通り！老後資金、教育費、マイホーム、趣味など、投資の目的は人それぞれです。自分の目標に合わせて投資計画を立てることが大切です。
S2501010001,投資とあなた,public,L2501010005,セクションチャレンジ,public,I2501010007,2,challenge,もう一問チャレンジしてみましょう。,,投資に使うべきお金として正しいのは？,余裕資金;生活費全部,余裕資金,正解！生活費と緊急時の備えを確保した上で、残ったお金で投資しましょう。,Q2501010006,2_choice,リスクとリターンは表裏一体？,o;x,o,正解です！大きなリターンを狙えば、それだけ値動きも大きくなります。逆に安定を求めれば、リターンも控えめになります。自分のリスク許容度に合った投資を選ぶことが重要ですよ。
S2501010002,お金の新常識,public,L2501010006,インフレとお金の価値,public,I2501010008,1,input_quiz,インフレとは、物の値段が上がっていくこと。100円で買えたものが110円になると、同じお金で買えるものが減ります。つまりお金の価値が下がるのです。,昔は100円で買えたものが今は買えないですよね,インフレが起きるとお金の価値はどうなる？,下がる;上がる,下がる,正解！同じ金額でも買えるものが減るので、お金の価値は下がります。,Q2501010007,2_choice,物価が上がるとお金の購買力は増える？,o;x,x,物価が上がると、同じ金額で買えるものが減るため、お金の購買力は減ります。例えば1万円で10個買えたものが8個しか買えなくなる、これがインフレの影響です。
S2501010002,お金の新常識,public,L2501010007,銀行金利 VS インフレ,public,I2501010009,1,input_quiz,今の銀行金利は年0.001%程度。一方インフレ率が年2%なら、預金の価値は実質的に目減りしています。お金を守るだけでは、実は減っているのと同じなのです。,100万円預けても1年で10円しか増えません,銀行金利がインフレ率より低いとどうなる？,実質的に資産が減る;実質的に資産が増える,実質的に資産が減る,正解！物価上昇にお金の増加が追いつかず、実質的な価値は減ります。,Q2501010008,2_choice,銀行預金だけで資産を守れる？,o;x,x,現在の低金利環境では、銀行預金だけではインフレに対抗できません。預金は安全ですが、物価上昇を考えると実質的な価値は目減りする可能性があります。だから預金と投資を組み合わせることが大切なのです。
S2501010002,お金の新常識,public,L2501010008,貯金と投資どう違う？,public,I2501010010,1,input_quiz,貯金は「守る」ためのもので、元本が保証され安全です。投資は「育てる」ためのもので、リスクはありますが資産を増やす可能性があります。両方が必要です。,どちらか一方ではなく、バランスが大切,元本が保証されているのはどっち？,貯金;投資,貯金,正解！貯金は元本保証があり安全。投資は値動きがあります。,Q2501010009,2_choice,投資と貯金は役割が違う？,o;x,o,その通りです！貯金は生活費や緊急時の備えとして「守る」役割、投資は将来に向けて資産を「育てる」役割です。両方をバランスよく持つことで、安心と成長の両方を実現できますよ。
S2501010002,お金の新常識,public,L2501010009,投資は価値の創造,public,I2501010011,1,input_quiz,投資は単にお金を増やすだけではありません。企業にお金を投じることで、新しい商品開発や雇用創出を後押しします。経済成長を応援する社会貢献でもあるのです。,あなたの投資が社会を動かす力になります,投資することで企業は何ができる？,新しい事業に挑戦;何もできない,新しい事業に挑戦,正解！投資されたお金で企業は成長し、新しい価値を生み出せます。,Q2501010010,2_choice,投資は自分の利益だけを追求する行為？,o;x,x,投資は自分の資産形成だけでなく、企業の成長や雇用創出、新技術開発など、社会全体の発展にも貢献します。あなたの投資が経済を動かし、より良い未来を作る力になっているのです。
