セクションID,セクション名,セクションステータス,セクション公開日時,レッスンID,レッスンパターン,レッスン名,予告,タグ,レッスンステータス,レッスン公開日時,インプットコード,インプットページ数,インプット_タイプ,インプット_説明文,インプット_画像,インプット_補足説明文,質問_質問文,質問_画像URL,質問_設問タイプ,質問_設問,質問_正解設定,質問_正解時簡易解説,質問_不正解時簡易解説,クイズコード,クイズページ数,クイズ_タイプ,クイズ_問題文,クイズ_画像1,クイズ_設問,クイズ_正解設定,クイズ_組み合わせ1,クイズ_組み合わせ2,クイズ_組み合わせ3,クイズ_組み合わせ4,クイズ_正解時簡易解説,クイズ_不正解時簡易解説,クイズ_リザルト解説
section_code,section_name,section_status,section_published_at,lesson_code,lesson_pattern,lesson_name,lesson_teaser,lesson_tags,lesson_status,lesson_published_at,input_code,input_page_no,input_type,input_body_text,input_image_url,input_supplement_text,input_question_text,input_question_image_url,input_question_type,input_question_choices,input_question_correct,input_correct_explanation,input_wrong_explanation,quiz_code,quiz_page_no,quiz_type,quiz_question_text,quiz_image_url,quiz_choices,quiz_correct,quiz_pair_1,quiz_pair_2,quiz_pair_3,quiz_pair_4,quiz_correct_explanation,quiz_wrong_explanation,quiz_result_explanationS2501020001,家計の把握,public,L2501020001,ウォームアップ,public,I2501020001,1,warmup,"これから家計の把握について学びます。
まずは基礎知識をクイズで確認してみましょう。",間違えても大丈夫。復習のチャンスです,,,,,Q2501020001,2_choice,家計管理の第一歩は収支の把握？,o;x,o,正解！収入と支出を把握することが、家計管理の基本です。何にいくら使っているか知ることで、改善点が見えてきますよ。
S2501020001,家計の把握,public,L2501020001,ウォームアップ,public,I2501020002,2,warmup,もう一問確認してみましょう。,,,,,,Q2501020002,2_choice,投資は家計に余裕がなくても始めるべき？,o;x,x,まず生活費と緊急資金を確保してから投資を始めましょう。余裕のない状態での投資は、精神的な負担が大きく、冷静な判断ができなくなる恐れがあります。
S2501020001,家計の把握,public,L2501020002,収入と支出の基本,public,I2501020003,1,input_quiz,"家計管理の第一歩は、毎月「入ってくるお金」と「出ていくお金」を把握することです。
給料、副業収入、年金などが収入。家賃、食費、光熱費などが支出です。",まずは大まかでOK。だんだん詳しくしていけます,家計管理で最初にすべきことは？,収支の把握;投資を始める,収支の把握,正解！まず収支を知ることが、すべての始まりです。,Q2501020003,2_choice,収入より支出が多い状態は健全？,o;x,x,収入より支出が多いと赤字になり、貯蓄ができません。継続すると借金が増える可能性もあります。まず支出を見直して、収入の範囲内で生活することが大切です。
S2501020001,家計の把握,public,L2501020002,収入と支出の基本,public,I2501020004,2,input_quiz,"収入から支出を引いた金額が「余剰資金」です。
これがプラスなら貯蓄や投資に回せます。マイナスなら支出の見直しが必要です。",余剰資金を増やすことが家計改善の鍵,余剰資金とは何？,収入から支出を引いた金額;給料の全額,収入から支出を引いた金額,正解！この余剰資金が、将来の資産形成の元になります。,,,,,,
S2501020001,家計の把握,public,L2501020003,固定費と変動費とは,public,I2501020005,1,input_quiz,"支出は「固定費」と「変動費」に分けられます。
固定費は毎月ほぼ同じ金額（家賃、保険料、通信費など）。変動費は月ごとに変わる費用（食費、娯楽費など）です。",固定費の見直しが節約の近道,毎月ほぼ同じ金額の支出を何という？,固定費;変動費,固定費,正解！固定費を見直すと、継続的な節約効果が得られます。,Q2501020004,2_choice,食費は固定費に分類される？,o;x,x,食費は月によって変わるため、変動費に分類されます。外食が多い月は高く、自炊が多い月は安くなりますよね。変動費は意識次第で調整しやすい支出です。
S2501020001,家計の把握,public,L2501020003,固定費と変動費とは,public,I2501020006,2,input_quiz,"固定費を下げると、毎月自動的に節約できます。
格安スマホへの乗り換え、不要なサブスクの解約などが効果的です。",一度見直せば継続的に効果が出ます,固定費削減の効果は？,継続的に節約できる;一時的な効果だけ,継続的に節約できる,その通り！固定費削減は、長期的な家計改善につながります。,,,,,,
S2501020001,家計の把握,public,L2501020004,予算管理のコツ,public,I2501020007,1,input_quiz,"予算管理とは、費目ごとに「今月はここまで」と上限を決めること。
食費3万円、娯楽費1万円など、使いすぎを防ぐ目安を設定します。",予算は無理のない範囲で設定しましょう,予算管理の目的は？,使いすぎを防ぐ;収入を増やす,使いすぎを防ぐ,正解！予算を決めることで、計画的にお金を使えます。,Q2501020005,2_choice,予算は一度決めたら絶対に変えてはいけない？,o;x,x,予算は柔軟に見直してOKです。生活環境が変われば、必要な金額も変わります。無理な予算で我慢しすぎると続きません。定期的に見直して、実情に合わせましょう。
S2501020001,家計の把握,public,L2501020004,予算管理のコツ,public,I2501020008,2,input_quiz,"予算を守るコツは、家計簿アプリを使うこと。
自動で支出を記録してくれるので、手間なく管理できます。",最初は簡単な方法から始めましょう,家計簿アプリの利点は？,自動で支出を記録;収入が増える,自動で支出を記録,正解！アプリを使えば、楽に家計管理が続けられます。,,,,,,
S2501020001,家計の把握,public,L2501020005,セクションチャレンジ,public,I2501020009,1,challenge,"ここまでの内容を復習しましょう。
家計管理の基本をしっかり理解できているか確認してください。",復習は学びを深めるチャンスです,家計管理で最も大切なことは？,収支を把握すること;高額な買い物をすること,収支を把握すること,正解！収支を知ることが、すべての基本です。,Q2501020006,2_choice,固定費の見直しは効果が持続する？,o;x,o,その通り！固定費を一度下げれば、毎月自動的に節約できます。通信費、保険料、サブスクなど、見直せるものがないか確認してみましょう。
S2501020001,家計の把握,public,L2501020005,セクションチャレンジ,public,I2501020010,2,challenge,最後の確認問題です。,,予算管理の目的として正しいのは？,使いすぎを防ぐ;収入を2倍にする,使いすぎを防ぐ,正解！予算を決めることで、計画的な支出が実現します。,Q2501020007,2_choice,家計簿アプリは管理を楽にする？,o;x,o,正解です！アプリなら自動で支出を記録してくれるので、手間が減って続けやすくなります。まずは簡単な方法から始めて、家計管理の習慣を作りましょう。お疲れさまでした！
S2501020002,投資にまわせるお金,public,L2501020006,生活防衛資金とは,public,I2501020011,1,input_quiz,"生活防衛資金とは、病気やケガ、失業など「もしもの時」に生活を守るための貯え。
投資を始める前に、必ず確保しておきましょう。",安心の土台を作ることが第一歩,生活防衛資金の役割は？,緊急時の備え;投資資金,緊急時の備え,正解！もしもの時に慌てないための大切な備えです。,Q2501020008,2_choice,生活防衛資金がなくても投資していい？,o;x,x,生活防衛資金がないまま投資を始めると、急な出費で投資資金を取り崩すことになり、最悪の場合は損失を確定させてしまいます。まず備えを作りましょう。
